idle-level monitor, rail 3 V, nothing driven — 2026-08-09_174041
CHANGE THE MIC'S STATE partway through (wake it / let it sleep) and watch for a step.

  t (s)      pin1     pin2     pin3
    0.0    2.5055   2.7338   2.7435
    0.1    2.5055   2.7343   2.7441
    0.2    2.5057   2.7343   2.7441
    0.2    2.5057   2.7343   2.7427
    0.3    2.5047   2.7334   2.7427
    0.4    2.5047   2.7334   2.7427
    0.5    2.5042   2.7328   2.7423
    0.5    2.5042   2.7328   2.7423
    0.6    2.5042   2.7340   2.7438
    0.7    2.5054   2.7340   2.7438
    0.8    2.5054   2.7346   2.7449
    0.9    2.5057   2.7346   2.7449
    0.9    2.5057   2.7346   2.7449
    1.0    2.5054   2.7338   2.7435
    1.1    2.5054   2.7338   2.7435
    1.2    2.5054   2.7347   2.7446
    1.3    2.5060   2.7347   2.7446
    1.3    2.5060   2.7347   2.7446
    1.4    2.5052   2.7348   2.7436
    1.5    2.5052   2.7348   2.7436
    1.6    2.5052   2.7349   2.7452
    1.7    2.5065   2.7349   2.7452
    1.7    2.5065   2.7349   2.7452
    1.8    2.5051   2.7350   2.7431
    1.9    2.5051   2.7350   2.7431
    2.0    2.5057   2.7355   2.7434
    2.0    2.5057   2.7355   2.7434
    2.1    2.5057   2.7355   2.7434
    2.2    2.5060   2.7348   2.7434
    2.3    2.5060   2.7348   2.7427
    2.4    2.5058   2.7346   2.7427
    2.4    2.5058   2.7346   2.7427
    2.5    2.5058   2.7341   2.7430
    2.6    2.5054   2.7341   2.7430
    2.7    2.5054   2.7341   2.7430
    2.7    2.5054   2.7348   2.7437
    2.8    2.5060   2.7348   2.7437
    2.9    2.5060   2.7353   2.7450
    3.0    2.5069   2.7353   2.7450
    3.1    2.5069   2.7353   2.7450
    3.1    2.5056   2.7343   2.7439
    3.2    2.5056   2.7343   2.7439
    3.3    2.5056   2.7342   2.7436
    3.4    2.5054   2.7342   2.7436
    3.4    2.5054   2.7342   2.7436
    3.5    2.5061   2.7346   2.7442
    3.6    2.5061   2.7346   2.7437
    3.7    2.5056   2.7345   2.7437
    3.7    2.5056   2.7345   2.7437
    3.8    2.5056   2.7343   2.7433
    3.9    2.5052   2.7343   2.7433
    4.0    2.5052   2.7343   2.7433
    4.1    2.5067   2.7355   2.7454
    4.1    2.5067   2.7355   2.7454
    4.2    2.5067   2.7335   2.7428
    4.3    2.5047   2.7335   2.7428
    4.4    2.5047   2.7335   2.7429
    4.5    2.5051   2.7347   2.7429
    4.5    2.5051   2.7347   2.7429
    4.6    2.5051   2.7351   2.7441
    4.7    2.5061   2.7351   2.7441
    4.8    2.5061   2.7351   2.7438
    4.8    2.5061   2.7344   2.7438
    4.9    2.5061   2.7344   2.7438
    5.0    2.5051   2.7341   2.7426
    5.1    2.5051   2.7341   2.7426
    5.2    2.5051   2.7341   2.7429
    5.2    2.5053   2.7343   2.7429
    5.3    2.5053   2.7341   2.7434
    5.4    2.5061   2.7341   2.7434
    5.5    2.5061   2.7341   2.7423
    5.5    2.5046   2.7335   2.7423
    5.6    2.5046   2.7335   2.7423
    5.7    2.5046   2.7342   2.7430
    5.8    2.5061   2.7342   2.7430
    5.9    2.5061   2.7342   2.7430
    5.9    2.5067   2.7350   2.7445
    6.0    2.5067   2.7350   2.7445
    6.1    2.5067   2.7357   2.7439
    6.2    2.5060   2.7357   2.7439
    6.3    2.5060   2.7357   2.7433
    6.3    2.5058   2.7344   2.7433
    6.4    2.5058   2.7344   2.7433
    6.5    2.5058   2.7348   2.7436
    6.6    2.5062   2.7348   2.7436
    6.6    2.5062   2.7341   2.7433
    6.7    2.5058   2.7341   2.7433
    6.8    2.5058   2.7341   2.7433
    6.9    2.5060   2.7350   2.7433
    7.0    2.5060   2.7350   2.7433
    7.0    2.5060   2.7350   2.7438
    7.1    2.5065   2.7349   2.7438
    7.2    2.5065   2.7349   2.7429
    7.3    2.5055   2.7340   2.7429
    7.3    2.5055   2.7340   2.7429
    7.4    2.5055   2.7340   2.7422
    7.5    2.5044   2.7333   2.7422
    7.6    2.5044   2.7347   2.7438
    7.7    2.5063   2.7347   2.7438
    7.7    2.5063   2.7347   2.7438
    7.8    2.5063   2.7343   2.7433
    7.9    2.5054   2.7343   2.7433
    8.0    2.5047   2.7341   2.7430
    8.0    2.5047   2.7341   2.7430
    8.1    2.5047   2.7341   2.7430
    8.2    2.5053   2.7341   2.7430
    8.3    2.5053   2.7341   2.7430
    8.4    2.5053   2.7343   2.7430
    8.4    2.5054   2.7343   2.7430
    8.5    2.5054   2.7343   2.7430
    8.6    2.5039   2.7332   2.7419
    8.7    2.5039   2.7332   2.7419
    8.7    2.5039   2.7335   2.7429
    8.8    2.5051   2.7335   2.7429
    8.9    2.5051   2.7335   2.7429
    9.0    2.5046   2.7334   2.7425
    9.1    2.5046   2.7334   2.7419
    9.1    2.5037   2.7328   2.7419
    9.2    2.5037   2.7328   2.7419
    9.3    2.5037   2.7343   2.7441
    9.4    2.5056   2.7343   2.7441
    9.4    2.5056   2.7343   2.7437
    9.5    2.5055   2.7348   2.7437
    9.6    2.5055   2.7348   2.7437
    9.7    2.5055   2.7343   2.7439
    9.7    2.5060   2.7343   2.7439
    9.8    2.5060   2.7343   2.7439
    9.9    2.5062   2.7354   2.7442
   10.0    2.5062   2.7354   2.7442
   10.1    2.5047   2.7339   2.7423
   10.1    2.5047   2.7339   2.7423
   10.2    2.5047   2.7338   2.7427
   10.3    2.5053   2.7338   2.7427
   10.4    2.5053   2.7338   2.7427
   10.5    2.5047   2.7345   2.7430
   10.5    2.5047   2.7345   2.7430
   10.6    2.5047   2.7345   2.7431
   10.7    2.5053   2.7342   2.7431
   10.8    2.5053   2.7342   2.7434
   10.8    2.5055   2.7343   2.7434
   10.9    2.5055   2.7343   2.7434
   11.0    2.5055   2.7341   2.7433
   11.1    2.5050   2.7341   2.7433
   11.2    2.5050   2.7341   2.7444
   11.2    2.5066   2.7348   2.7444
   11.3    2.5066   2.7348   2.7444
   11.4    2.5066   2.7342   2.7436
