input-threshold sweep, clk pin 2 @ 1000 Hz, pull-ups 3 V
2026-07-26_164227

commanded  pin_high  vpp   result
  3.00 V    3.00 V   2.93  RESPONDED
  2.50 V    2.55 V   2.42  RESPONDED
  2.00 V    2.09 V   1.89  RESPONDED
  1.60 V    1.72 V   1.56  RESPONDED
  1.40 V    1.54 V   1.43  RESPONDED
  1.20 V    1.37 V   1.27  RESPONDED
  1.00 V    1.19 V   1.10  RESPONDED
  0.90 V    1.09 V   0.89  RESPONDED
  0.80 V    1.01 V   0.87  RESPONDED
  0.70 V    0.91 V   0.78  RESPONDED
  0.60 V    0.83 V   0.75  RESPONDED
  0.50 V    0.74 V   0.66  RESPONDED
  0.40 V    0.64 V   0.61  RESPONDED
  0.30 V    0.55 V   0.45  RESPONDED
  0.25 V    0.51 V   0.35  RESPONDED
  0.20 V    0.46 V   0.43  RESPONDED
  0.15 V    0.42 V   0.29  RESPONDED

positive control (re-test at 3.00 V): RESPONDED
negative control (AWG OFF, button only): RESPONDED — RUN VOID
